operation,timestamp_us,latency_us
READ,1715138195295686,332
READ,1715138196300475,353
READ,1715138197305993,298
READ,1715138198312973,270
READ,1715138199316053,223
READ,1715138200319753,202
READ,1715138201328747,333
READ,1715138202332555,341
READ,1715138203335368,205
READ,1715138204338830,158
READ,1715138205342803,146
READ,1715138206345498,161
READ,1715138207349728,291
READ,1715138208356760,272
READ,1715138209360812,312
READ,1715138210364735,630
READ,1715138211368751,125
READ,1715138212373783,543
READ,1715138213378992,164
READ,1715138214381875,149
READ,1715138215385904,162
READ,1715138216404785,471
READ,1715138217411393,183
READ,1715138218415768,167
READ,1715138219424434,148
READ,1715138220433245,736
READ,1715138221441472,455
READ,1715138222446982,316
READ,1715138223454604,162
READ,1715138224466476,283
READ,1715138225472833,357
READ,1715138226479152,249
READ,1715138227483332,347
READ,1715138228489242,346
READ,1715138229495411,144
READ,1715138230498928,232
READ,1715138231503934,339
READ,1715138232506631,146
READ,1715138233510209,293
READ,1715138234514614,505
READ,1715138235519679,350
READ,1715138236527021,290
READ,1715138237531285,170
READ,1715138238535751,131
READ,1715138239539344,345
READ,1715138240544089,171
READ,1715138241548258,365
READ,1715138242556605,376
READ,1715138243562106,322
READ,1715138244565061,141
READ,1715138245571491,372
READ,1715138246576598,152
READ,1715138247582244,619
READ,1715138248586359,183
READ,1715138249591760,301
READ,1715138250601327,227
READ,1715138251604162,175
READ,1715138252611016,366
READ,1715138253616650,287
READ,1715138254622779,333
READ,1715138255626485,337
READ,1715138256630175,195
READ,1715138257636490,381
READ,1715138258645475,364
READ,1715138259652747,389
READ,1715138260657554,301
READ,1715138261662511,351
READ,1715138262669204,331
READ,1715138263680039,5525
READ,1715138264690794,475
READ,1715138265694385,630
READ,1715138266698862,189
READ,1715138267703480,376
READ,1715138268708083,163
READ,1715138269723512,232
READ,1715138270732286,240
READ,1715138271738868,224
READ,1715138272743128,258
READ,1715138273747571,197
READ,1715138274756856,287
READ,1715138275760131,188
COMMIT,1715137784149012,1005450
COMMIT,1715137785156516,1004488
COMMIT,1715137786162699,1003613
COMMIT,1715137787168764,1005665
COMMIT,1715137788174743,1004380
COMMIT,1715137789179457,1003888
COMMIT,1715137790188295,1005232
COMMIT,1715137791195050,1004966
COMMIT,1715137792201813,1004007
COMMIT,1715137793206102,1004134
COMMIT,1715137794210534,1004990
COMMIT,1715137795216741,1004383
COMMIT,1715137796221559,1003940
COMMIT,1715137797225829,1007504
COMMIT,1715137798239809,1002620
COMMIT,1715137799242672,1004128
COMMIT,1715137800247278,1003606
COMMIT,1715137801251935,1004214
COMMIT,1715137802257970,1004325
COMMIT,1715137803264714,1003562
COMMIT,1715137804271421,1002431
COMMIT,1715137805274004,1004403
COMMIT,1715137806278739,1004130
COMMIT,1715137807283154,1004412
COMMIT,1715137808288008,1003483
COMMIT,1715137809291795,1004032
COMMIT,1715137810299410,1003808
COMMIT,1715137811310466,1004705
COMMIT,1715137812315448,1004871
COMMIT,1715137813322425,1004076
COMMIT,1715137814328026,1004245
COMMIT,1715137815333680,1004691
COMMIT,1715137816338689,1004124
COMMIT,1715137817344548,1003987
COMMIT,1715137818348820,1004115
COMMIT,1715137819354729,1003503
COMMIT,1715137820358446,1003574
COMMIT,1715137821362292,1002221
COMMIT,1715137822365839,1002888
COMMIT,1715137823369001,1002081
COMMIT,1715137824372478,1002953
COMMIT,1715137825375674,1002643
COMMIT,1715137826381321,1002920
COMMIT,1715137827386532,1002979
COMMIT,1715137828390361,1002896
COMMIT,1715137829393472,1002492
COMMIT,1715137830396203,1002267
COMMIT,1715137831398714,1002825
